,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters,cluster
288,154.0,15,1,0.04,1,78,0,pink
289,38.0,14,9,0.23,1,0,0,pink
290,56.0,180,19,0.21,3,0,0,pink
291,50.0,2,207,2.04,1,180,1,purple
292,28.0,1,0,0.72,1,281,1,purple
293,110.0,2,2,0.03,1,363,1,purple
294,90.0,5,26,0.24,1,314,1,purple
295,84.0,2,332,3.19,1,294,1,purple
296,178.0,2,18,0.21,2,288,1,purple
297,76.0,4,9,0.09,1,0,0,pink
298,48.0,5,31,0.28,1,0,0,pink
299,29.0,3,75,1.0,1,0,0,pink
300,33.0,5,5,0.05,1,0,0,pink
301,54.0,3,29,0.75,1,21,0,pink
302,54.0,30,15,0.18,1,12,0,pink
303,202.0,1,127,1.19,1,162,1,purple
304,30.0,30,163,1.52,1,237,1,purple
305,85.0,4,50,0.51,2,0,0,pink
306,58.0,5,8,0.08,1,0,0,pink
307,45.0,3,41,0.42,1,285,1,purple
308,140.0,7,48,0.64,1,303,1,purple
309,91.0,3,115,1.12,1,328,1,purple
310,44.0,3,209,1.91,1,193,1,purple
311,125.0,1,293,4.62,2,346,1,purple
312,60.0,14,30,1.57,1,0,0,pink
313,50.0,7,3,0.03,1,0,0,pink
314,65.0,14,0,0.72,1,0,0,pink
315,65.0,3,361,3.72,2,341,1,purple
316,65.0,3,323,3.02,2,327,1,purple
317,53.0,1,51,0.53,1,0,0,pink
318,39.0,7,5,0.06,1,0,0,pink
319,110.0,28,8,0.07,2,254,1,purple
320,198.0,3,198,2.04,4,258,1,purple
321,35.0,5,67,1.08,1,285,1,purple
322,80.0,183,18,0.17,4,364,1,purple
323,38.0,5,10,0.22,1,0,0,pink
324,245.0,4,67,0.74,2,357,1,purple
325,60.0,3,208,2.44,1,0,0,pink
326,60.0,61,20,0.24,2,40,0,pink
327,42.0,1,590,5.35,1,285,1,purple
328,59.0,14,51,0.48,1,195,1,purple
329,109.0,3,63,0.58,2,165,1,purple
330,59.0,3,10,0.18,1,296,1,purple
331,74.0,10,26,0.77,2,0,0,pink
332,40.0,3,7,0.09,1,0,0,pink
333,54.0,1,305,3.22,1,312,1,purple
334,100.0,3,58,0.66,1,236,1,purple
335,64.0,6,3,0.04,1,0,0,pink
336,21.0,10,0,0.72,1,0,0,pink
337,68.0,2,248,2.31,1,162,1,purple
338,29.0,183,55,0.5,3,188,1,purple
339,99.0,2,2,0.02,4,0,0,pink
340,40.0,3,41,0.42,1,82,0,pink
341,73.0,60,4,0.06,1,46,0,pink
342,39.0,6,9,0.1,1,0,0,pink
343,59.0,5,15,0.18,1,0,0,pink
344,60.0,2,1,0.01,4,0,0,pink
345,120.0,3,5,0.06,1,162,1,purple
346,50.0,1,3,0.09,1,0,0,pink
347,85.0,4,6,0.06,1,50,0,pink
348,82.0,3,33,0.78,2,0,0,pink
349,34.0,1,156,1.43,1,294,1,purple
350,49.0,5,80,0.82,1,190,1,purple
351,50.0,3,47,0.53,1,224,1,purple
352,30.0,2,479,4.55,1,283,1,purple
353,80.0,7,7,0.1,1,19,0,pink
354,59.0,7,18,0.2,1,0,0,pink
355,29.0,122,78,0.79,1,310,1,purple
356,72.0,4,189,1.73,3,138,1,purple
357,90.0,5,25,0.25,1,21,0,pink
358,70.0,3,50,0.48,1,0,0,pink
359,50.0,3,30,0.34,2,300,1,purple
360,22.0,2,502,4.59,1,305,1,purple
361,20.0,1000,26,0.24,1,365,1,purple
362,43.0,2,13,0.12,1,307,1,purple
363,100.0,4,136,1.25,1,204,1,purple
364,136.0,5,68,0.72,2,0,0,pink
365,37.0,60,98,0.92,1,273,1,purple
366,48.0,60,42,0.43,1,209,1,purple
367,60.0,3,33,0.4,2,285,1,purple
368,32.0,4,33,0.3,4,43,0,pink
369,50.0,3,5,0.05,1,0,0,pink
370,65.0,60,87,1.37,1,221,1,purple
371,29.0,1,34,0.32,3,347,1,purple
372,65.0,5,7,0.1,1,0,0,pink
373,87.0,29,95,1.0,2,224,1,purple
374,100.0,25,58,0.73,1,268,1,purple
375,80.0,8,9,0.08,1,0,0,pink
376,76.0,3,81,0.81,1,285,1,purple
377,70.0,7,0,0.72,1,0,0,pink
378,106.0,3,17,0.21,1,0,0,pink
379,72.0,1,350,3.22,1,113,0,pink
380,80.0,4,58,0.54,2,303,1,purple
381,30.0,3,49,0.51,1,0,0,pink
382,64.0,93,112,1.17,1,0,0,pink
383,35.0,2,7,0.07,1,0,0,pink
384,44.0,2,19,0.25,3,0,0,pink
385,120.0,90,39,0.38,4,363,1,purple
386,62.0,2,18,0.78,1,0,0,pink
387,35.0,5,2,0.02,1,0,0,pink
388,45.0,3,0,0.72,1,0,0,pink
389,67.0,8,98,0.99,1,9,0,pink
390,35.0,3,112,1.07,1,135,0,pink
391,100.0,4,12,0.12,1,254,1,purple
392,150.0,4,2,0.03,1,0,0,pink
393,58.0,2,97,0.9,1,0,0,pink
394,45.0,7,4,0.04,1,0,0,pink
395,20.0,20,0,0.72,1,0,0,pink
396,38.0,1,573,5.32,4,333,1,purple
397,115.0,4,75,0.92,1,3,0,pink
398,45.0,5,0,0.72,1,0,0,pink
399,72.0,4,158,1.62,1,191,1,purple
400,74.0,3,31,0.42,2,298,1,purple
401,35.0,2,165,1.55,1,193,1,purple
402,200.0,3,10,0.13,2,0,0,pink
403,50.0,29,37,0.39,1,232,1,purple
404,20.0,1,5,0.07,1,0,0,pink
405,61.0,2,25,0.33,2,0,0,pink
406,41.0,1,47,0.46,2,0,0,pink
407,51.0,1,119,1.51,1,269,1,purple
408,79.0,3,90,1.28,2,315,1,purple
409,45.0,5,78,0.94,2,292,1,purple
410,45.0,1,0,0.72,1,0,0,pink
411,78.0,3,23,0.3,1,0,0,pink
412,95.0,3,6,0.06,1,0,0,pink
413,100.0,4,1,0.01,1,0,0,pink
414,111.0,2,254,3.03,1,276,1,purple
415,81.0,4,143,1.94,1,41,0,pink
416,65.0,5,9,0.2,1,0,0,pink
417,137.0,7,26,0.28,1,9,0,pink
418,45.0,30,9,0.09,1,364,1,purple
419,38.0,62,178,1.99,2,362,1,purple
420,850.0,1,0,0.72,1,365,1,purple
421,105.0,5,116,1.28,1,193,1,purple
422,285.0,3,128,1.34,2,127,1,purple
423,32.0,2,45,0.54,3,310,1,purple
424,90.0,2,69,0.68,1,179,1,purple
425,46.0,3,125,1.23,1,190,1,purple
426,180.0,3,74,0.89,1,0,0,pink
427,85.0,3,0,0.72,1,144,0,pink
428,80.0,3,93,1.3,1,7,0,pink
429,50.0,6,39,0.37,1,0,0,pink
430,36.0,21,131,1.23,3,42,0,pink
431,35.0,7,3,0.06,1,0,0,pink
432,40.0,30,68,0.64,3,73,0,pink
433,89.0,5,59,0.67,1,246,1,purple
434,68.0,5,1,0.01,1,0,0,pink
435,22.0,30,73,0.74,1,11,0,pink
436,35.0,21,243,2.59,1,164,1,purple
437,116.0,5,18,0.21,2,231,1,purple
438,69.0,1,9,0.1,2,360,1,purple
439,81.0,4,187,1.85,1,32,0,pink
440,42.0,10,2,0.05,1,0,0,pink
