,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
8310,Mitte,52.53628181319301,13.401725421989996,Entire home/apt,86.0,6,38,0.83,2,247,Middle price,Long term,Private host
8311,Pankow,52.53758,13.41147,Private room,25.0,3,23,0.51,1,0,Low price,Short term,Private host
8312,Charlottenburg-Wilm.,52.48098,13.32094,Private room,18.0,4,0,,1,0,Low price,Short term,Private host
8313,Pankow,52.52983,13.44453,Hotel room,80.0,1,81,1.89,2,341,Middle price,Long term,Private host
8314,Friedrichshain-Kreuzberg,52.51288,13.4533,Private room,26.0,1,0,,1,0,Low price,Short term,Private host
8315,Neukölln,52.48266,13.43658,Private room,35.0,1,16,0.35,1,0,Low price,Short term,Private host
8316,Mitte,52.55236,13.37997,Private room,30.0,3,0,,1,0,Low price,Short term,Private host
8317,Treptow - Köpenick,52.43177,13.69193,Entire home/apt,97.0,5,5,0.12,1,0,Middle price,Short term,Private host
8318,Mitte,52.53561,13.39864,Entire home/apt,125.0,61,92,2.14,1,188,Middle price,Long term,Private host
8319,Pankow,52.53185,13.44646,Private room,38.0,1,25,0.55,1,19,Low price,Short term,Private host
8320,Friedrichshain-Kreuzberg,52.50974,13.46495,Entire home/apt,78.0,2,4,0.45,1,14,Low price,Short term,Private host
8321,Mitte,52.4993,13.36821,Private room,35.0,1,0,,1,0,Low price,Short term,Private host
8322,Friedrichshain-Kreuzberg,52.50736,13.46093,Entire home/apt,60.0,1,0,,1,0,Low price,Short term,Private host
8323,Tempelhof - Schöneberg,52.47929,13.3496,Private room,20.0,1,1,0.02,2,0,Low price,Short term,Private host
8324,Mitte,52.55898,13.3787,Entire home/apt,40.0,1,0,,1,0,Low price,Short term,Private host
8325,Mitte,52.52431,13.40961,Entire home/apt,104.0,60,4,0.36,20,253,Middle price,Long term,Commercial host
8326,Pankow,52.54392,13.42055,Entire home/apt,75.0,4,1,0.02,2,0,Low price,Short term,Private host
8327,Mitte,52.55992,13.33207,Private room,40.0,1,15,0.53,1,3,Low price,Short term,Private host
8328,Neukölln,52.47494,13.42078,Shared room,30.0,5,8,0.17,1,0,Low price,Short term,Private host
8329,Friedrichshain-Kreuzberg,52.5288,13.43252,Entire home/apt,70.0,2,12,0.26,1,0,Low price,Short term,Private host
8330,Friedrichshain-Kreuzberg,52.48502,13.37621,Entire home/apt,60.0,7,10,0.22,1,7,Low price,Short term,Private host
8331,Friedrichshain-Kreuzberg,52.51136,13.45595,Private room,40.0,3,17,0.39,1,0,Low price,Short term,Private host
8332,Friedrichshain-Kreuzberg,52.49863,13.43691,Entire home/apt,125.0,1,0,,2,0,Middle price,Short term,Private host
8333,Neukölln,52.47909,13.43048,Private room,20.0,7,15,0.35,2,0,Low price,Short term,Private host
8334,Pankow,52.52382,13.45729,Entire home/apt,110.0,3,4,0.09,1,0,Middle price,Short term,Private host
8335,Pankow,52.57578,13.41225,Private room,43.0,2,11,0.24,1,0,Low price,Short term,Private host
8336,Mitte,52.53349,13.35195,Entire home/apt,68.0,1,91,2.02,23,334,Low price,Long term,Commercial host
8337,Friedrichshain-Kreuzberg,52.49808,13.42696,Private room,50.0,3,15,0.33,1,66,Low price,Short term,Private host
8338,Neukölln,52.49246,13.42462,Private room,42.0,3,52,1.16,1,133,Low price,Middle term,Private host
8339,Neukölln,52.46727,13.44237,Entire home/apt,120.0,3,9,0.29,1,0,Middle price,Short term,Private host
8340,Friedrichshain-Kreuzberg,52.49227,13.39019,Entire home/apt,210.0,3,167,3.68,3,301,Middle price,Long term,Commercial host
8341,Friedrichshain-Kreuzberg,52.51203,13.45969,Entire home/apt,213.0,3,33,0.77,3,318,Middle price,Long term,Commercial host
8342,Friedrichshain-Kreuzberg,52.4932,13.41172,Private room,35.0,1,11,0.24,2,0,Low price,Short term,Private host
8343,Friedrichshain-Kreuzberg,52.49971,13.40861,Private room,39.0,2,96,2.14,1,12,Low price,Short term,Private host
8344,Mitte,52.53183,13.38226,Entire home/apt,79.0,3,72,1.65,2,292,Low price,Long term,Private host
8345,Charlottenburg-Wilm.,52.5017,13.33783,Entire home/apt,40.0,2,15,0.38,1,0,Low price,Short term,Private host
8346,Friedrichshain-Kreuzberg,52.4989,13.4623,Entire home/apt,81.0,2,23,0.58,1,0,Middle price,Short term,Private host
8347,Treptow - Köpenick,52.46581,13.49201,Entire home/apt,80.0,2,0,,1,0,Middle price,Short term,Private host
8348,Charlottenburg-Wilm.,52.49808,13.32365,Entire home/apt,85.0,60,3,0.07,1,285,Middle price,Long term,Private host
8349,Pankow,52.55694,13.41693,Entire home/apt,75.0,14,20,0.45,1,273,Low price,Long term,Private host
8350,Marzahn - Hellersdorf,52.52347,13.64311,Private room,44.0,2,83,1.89,1,151,Low price,Middle term,Private host
8351,Mitte,52.52798,13.34011,Entire home/apt,140.0,3,19,0.48,1,309,Middle price,Long term,Private host
8352,Friedrichshain-Kreuzberg,52.49963,13.41466,Entire home/apt,70.0,2,37,0.8,1,0,Low price,Short term,Private host
8353,Pankow,52.55439,13.416,Private room,30.0,2,0,,3,0,Low price,Short term,Commercial host
8354,Pankow,52.55608,13.41695,Entire home/apt,50.0,3,1,0.02,3,0,Low price,Short term,Commercial host
8355,Pankow,52.54177,13.42216,Private room,45.0,2,1,0.03,1,0,Low price,Short term,Private host
8356,Pankow,52.53347,13.4376,Private room,35.0,5,9,0.2,1,0,Low price,Short term,Private host
8357,Friedrichshain-Kreuzberg,52.48606,13.3907,Entire home/apt,59.0,10,1,0.02,1,0,Low price,Short term,Private host
8358,Charlottenburg-Wilm.,52.51643,13.26969,Private room,49.0,1,1,0.02,1,89,Low price,Short term,Private host
8359,Charlottenburg-Wilm.,52.47894,13.32698,Private room,19.0,2,1,0.02,1,0,Low price,Short term,Private host
8360,Charlottenburg-Wilm.,52.50382,13.31991,Private room,45.0,2,4,0.09,2,364,Low price,Long term,Private host
8361,Neukölln,52.48054,13.44407,Private room,28.0,1,1,0.02,2,0,Low price,Short term,Private host
8362,Friedrichshain-Kreuzberg,52.49099,13.39741,Private room,27.0,2,4,0.09,1,0,Low price,Short term,Private host
8363,Mitte,52.52764,13.41075,Private room,70.0,2,23,0.59,1,26,Low price,Short term,Private host
8364,Neukölln,52.47713,13.42122,Private room,35.0,2,8,0.17,1,0,Low price,Short term,Private host
8365,Friedrichshain-Kreuzberg,52.48769,13.38439,Entire home/apt,80.0,3,2,0.06,1,0,Middle price,Short term,Private host
8366,Neukölln,52.46954,13.43276,Entire home/apt,50.0,2,25,0.63,1,0,Low price,Short term,Private host
8367,Friedrichshain-Kreuzberg,52.49894,13.44156,Private room,45.0,3,105,2.28,1,129,Low price,Middle term,Private host
8368,Pankow,52.5508,13.4021,Entire home/apt,50.0,80,2,0.04,1,0,Low price,Short term,Private host
8369,Charlottenburg-Wilm.,52.49142,13.29446,Private room,20.0,3,9,0.2,1,288,Low price,Long term,Private host
8370,Pankow,52.52873,13.42145,Private room,28.0,5,81,1.83,1,327,Low price,Long term,Private host
8371,Neukölln,52.48244,13.43953,Private room,60.0,3,7,0.32,1,0,Low price,Short term,Private host
8372,Friedrichshain-Kreuzberg,52.50075,13.46041,Entire home/apt,71.0,2,11,0.24,1,0,Low price,Short term,Private host
8373,Tempelhof - Schöneberg,52.48737,13.35198,Private room,60.0,2,21,0.55,2,353,Low price,Long term,Private host
8374,Charlottenburg-Wilm.,52.51088,13.31074,Entire home/apt,41.0,4,98,2.16,1,43,Low price,Short term,Private host
8375,Pankow,52.54776,13.41757,Private room,23.0,1,3,0.07,1,0,Low price,Short term,Private host
8376,Tempelhof - Schöneberg,52.48793,13.36113,Private room,24.0,2,68,1.89,1,112,Low price,Middle term,Private host
8377,Friedrichshain-Kreuzberg,52.51444,13.4309,Private room,47.0,2,11,0.28,1,0,Low price,Short term,Private host
8378,Friedrichshain-Kreuzberg,52.50276,13.4203,Private room,33.0,3,3,0.07,1,0,Low price,Short term,Private host
8379,Friedrichshain-Kreuzberg,52.49891,13.43913,Private room,35.0,2,9,0.21,1,0,Low price,Short term,Private host
8380,Charlottenburg-Wilm.,52.52184,13.23696,Private room,33.0,3,48,1.29,1,308,Low price,Long term,Private host
8381,Friedrichshain-Kreuzberg,52.49504,13.42779,Entire home/apt,35.0,93,6,0.14,7,364,Low price,Long term,Commercial host
8382,Pankow,52.55604,13.42079,Entire home/apt,33.0,2,54,1.23,1,16,Low price,Short term,Private host
8383,Neukölln,52.47646,13.45275,Private room,24.0,1,5,0.11,1,0,Low price,Short term,Private host
8384,Mitte,52.52843,13.39013,Entire home/apt,75.0,7,5,0.11,1,0,Low price,Short term,Private host
8385,Pankow,52.55079,13.45944,Private room,35.0,4,43,1.0,2,0,Low price,Short term,Private host
8386,Tempelhof - Schöneberg,52.5036,13.3457,Private room,32.0,2,52,1.14,1,0,Low price,Short term,Private host
8387,Neukölln,52.47833,13.43583,Entire home/apt,45.0,2,155,3.39,1,11,Low price,Short term,Private host
8388,Pankow,52.55353,13.39918,Private room,14.0,2,2,0.04,1,0,Low price,Short term,Private host
8389,Friedrichshain-Kreuzberg,52.50268,13.4579,Private room,25.0,2,1,0.02,1,0,Low price,Short term,Private host
8390,Mitte,52.53168,13.38731,Entire home/apt,61.0,3,17,0.4,1,0,Low price,Short term,Private host
8391,Neukölln,52.46725,13.44027,Private room,45.0,2,4,0.09,1,0,Low price,Short term,Private host
8392,Mitte,52.53224,13.34228,Private room,40.0,2,2,1.15,1,351,Low price,Long term,Private host
8393,Mitte,52.54918,13.36831,Private room,20.0,3,0,,1,0,Low price,Short term,Private host
8394,Pankow,52.55224,13.40492,Entire home/apt,80.0,5,57,1.25,1,0,Middle price,Short term,Private host
8395,Friedrichshain-Kreuzberg,52.50646,13.39745,Private room,35.0,2,5,0.11,1,0,Low price,Short term,Private host
8396,Friedrichshain-Kreuzberg,52.50799,13.46082,Private room,80.0,3,0,,1,0,Middle price,Short term,Private host
8397,Mitte,52.52009,13.42766,Entire home/apt,150.0,3,33,0.85,1,142,Middle price,Middle term,Private host
8398,Friedrichshain-Kreuzberg,52.50542,13.46882,Entire home/apt,89.0,3,9,0.2,1,0,Middle price,Short term,Private host
8399,Friedrichshain-Kreuzberg,52.49932,13.46702,Entire home/apt,97.0,14,2,0.04,1,89,Middle price,Short term,Private host
8400,Lichtenberg,52.52885,13.47367,Entire home/apt,47.0,5,18,0.44,1,195,Low price,Long term,Private host
8401,Neukölln,52.4817,13.42379,Private room,40.0,2,4,0.1,1,0,Low price,Short term,Private host
8402,Mitte,52.53462,13.40339,Entire home/apt,60.0,3,4,0.09,1,0,Low price,Short term,Private host
8403,Friedrichshain-Kreuzberg,52.49285,13.38001,Private room,30.0,3,3,0.07,1,0,Low price,Short term,Private host
8404,Charlottenburg-Wilm.,52.50719,13.3021,Private room,15.0,4,0,,1,0,Low price,Short term,Private host
8405,Neukölln,52.46769,13.43992,Private room,21.0,1,0,,1,0,Low price,Short term,Private host
8406,Friedrichshain-Kreuzberg,52.52391,13.44508,Entire home/apt,49.0,5,2,0.05,1,0,Low price,Short term,Private host
8407,Pankow,52.53166,13.43336,Private room,40.0,2,0,,1,0,Low price,Short term,Private host
8408,Friedrichshain-Kreuzberg,52.49109,13.3812,Private room,30.0,1,9,0.2,1,0,Low price,Short term,Private host
8409,Neukölln,52.47569,13.44044,Private room,21.0,3,1,0.02,1,0,Low price,Short term,Private host
8410,Spandau,52.51538,13.16667,Private room,20.0,3,29,0.64,2,99,Low price,Middle term,Private host
8411,Pankow,52.54635,13.41897,Entire home/apt,100.0,3,16,0.36,1,0,Middle price,Short term,Private host
8412,Mitte,52.54915,13.34582,Private room,22.0,2,6,0.14,1,0,Low price,Short term,Private host
8413,Friedrichshain-Kreuzberg,52.50996,13.45401,Private room,42.0,1,24,0.58,1,0,Low price,Short term,Private host
8414,Mitte,52.51238,13.41562,Shared room,60.0,1,1,0.02,1,0,Low price,Short term,Private host
8415,Neukölln,52.49336,13.42503,Private room,39.0,3,8,0.19,1,0,Low price,Short term,Private host
8416,Lichtenberg,52.54293,13.48979,Entire home/apt,135.0,4,1,0.05,1,0,Middle price,Short term,Private host
8417,Neukölln,52.48774,13.42996,Private room,35.0,2,30,0.7,1,0,Low price,Short term,Private host
8418,Tempelhof - Schöneberg,52.48218,13.3604,Entire home/apt,83.0,2,8,0.3,1,0,Middle price,Short term,Private host
8419,Mitte,52.51253,13.38219,Entire home/apt,75.0,30,8,0.34,25,254,Low price,Long term,Commercial host
8420,Mitte,52.55634,13.37685,Private room,64.0,7,2,0.05,2,363,Low price,Long term,Private host
8421,Treptow - Köpenick,52.45984,13.52071,Entire home/apt,35.0,5,0,,1,0,Low price,Short term,Private host
8422,Friedrichshain-Kreuzberg,52.52275,13.44799,Private room,30.0,4,6,0.15,1,0,Low price,Short term,Private host
8423,Pankow,52.5413,13.42611,Private room,43.0,2,40,0.89,1,0,Low price,Short term,Private host
8424,Neukölln,52.47415,13.43103,Private room,24.0,7,9,0.2,1,10,Low price,Short term,Private host
8425,Mitte,52.52938,13.40642,Entire home/apt,45.0,1,6,0.13,1,0,Low price,Short term,Private host
8426,Neukölln,52.47239,13.43125,Entire home/apt,45.0,2,2,0.04,2,0,Low price,Short term,Private host
8427,Friedrichshain-Kreuzberg,52.50864,13.46468,Private room,40.0,3,0,,1,0,Low price,Short term,Private host
8428,Neukölln,52.48573,13.4288,Private room,32.0,1,3,0.07,1,0,Low price,Short term,Private host
8429,Neukölln,52.48203,13.43934,Private room,40.0,3,27,0.7,1,0,Low price,Short term,Private host
8430,Reinickendorf,52.63284,13.27773,Private room,28.0,5,13,0.43,1,29,Low price,Short term,Private host
8431,Friedrichshain-Kreuzberg,52.52299,13.45009,Private room,40.0,2,6,0.17,1,0,Low price,Short term,Private host
8432,Friedrichshain-Kreuzberg,52.50856,13.47,Entire home/apt,63.0,21,0,,1,0,Low price,Short term,Private host
8433,Pankow,52.54745,13.41323,Private room,36.0,3,0,,1,0,Low price,Short term,Private host
8434,Mitte,52.52611,13.33394,Private room,25.0,9,0,,2,0,Low price,Short term,Private host
8435,Charlottenburg-Wilm.,52.505,13.312,Entire home/apt,75.0,30,51,1.24,1,21,Low price,Short term,Private host
8436,Neukölln,52.45785,13.43481,Entire home/apt,50.0,3,15,0.35,1,0,Low price,Short term,Private host
8437,Tempelhof - Schöneberg,52.48722,13.36242,Entire home/apt,93.0,5,137,3.03,1,206,Middle price,Long term,Private host
8438,Charlottenburg-Wilm.,52.47352,13.31922,Private room,30.0,3,160,3.5,1,324,Low price,Long term,Private host
8439,Neukölln,52.47824,13.43939,Private room,35.0,3,2,0.06,2,0,Low price,Short term,Private host
8440,Mitte,52.5476,13.34989,Private room,25.0,4,17,0.4,1,0,Low price,Short term,Private host
8441,Friedrichshain-Kreuzberg,52.49838,13.44347,Private room,30.0,2,0,,1,0,Low price,Short term,Private host
8442,Pankow,52.5698,13.39763,Entire home/apt,90.0,1,82,1.86,4,286,Middle price,Long term,Commercial host
8443,Friedrichshain-Kreuzberg,52.51258,13.47053,Entire home/apt,90.0,2,90,1.98,12,149,Middle price,Middle term,Commercial host
8444,Charlottenburg-Wilm.,52.48905,13.33565,Entire home/apt,80.0,4,73,1.63,1,252,Middle price,Long term,Private host
8445,Mitte,52.50661,13.34798,Entire home/apt,80.0,3,1,0.02,1,0,Middle price,Short term,Private host
8446,Friedrichshain-Kreuzberg,52.51093,13.4607,Entire home/apt,99.0,3,109,2.53,3,321,Middle price,Long term,Commercial host
8447,Mitte,52.55148,13.35858,Entire home/apt,30.0,5,1,0.02,1,0,Low price,Short term,Private host
8448,Pankow,52.52112,13.45713,Shared room,31.0,1,26,0.64,1,90,Low price,Short term,Private host
8449,Mitte,52.52773,13.38856,Entire home/apt,80.0,3,4,0.09,2,0,Middle price,Short term,Private host
8450,Friedrichshain-Kreuzberg,52.49774,13.38739,Entire home/apt,59.0,2,30,0.72,1,62,Low price,Short term,Private host
8451,Friedrichshain-Kreuzberg,52.51129,13.45631,Private room,42.0,14,0,,1,0,Low price,Short term,Private host
8452,Neukölln,52.46852,13.44537,Private room,23.0,5,6,0.59,1,0,Low price,Short term,Private host
8453,Lichtenberg,52.50584,13.4778,Entire home/apt,70.0,4,17,0.44,1,0,Low price,Short term,Private host
8454,Mitte,52.52968,13.33671,Private room,24.0,2,10,0.3,1,0,Low price,Short term,Private host
8455,Pankow,52.54911,13.41097,Private room,45.0,3,14,0.31,2,142,Low price,Middle term,Private host
8456,Charlottenburg-Wilm.,52.49751,13.33721,Entire home/apt,57.0,3,70,1.55,1,122,Low price,Middle term,Private host
8457,Friedrichshain-Kreuzberg,52.51459,13.43286,Private room,40.0,1,25,0.57,1,0,Low price,Short term,Private host
8458,Tempelhof - Schöneberg,52.49061,13.33865,Entire home/apt,28.0,20,2,0.04,2,0,Low price,Short term,Private host
8459,Pankow,52.55241,13.41557,Entire home/apt,49.0,1,90,2.0,2,299,Low price,Long term,Private host
8460,Friedrichshain-Kreuzberg,52.49078,13.42095,Entire home/apt,75.0,2,0,,1,0,Low price,Short term,Private host
8461,Mitte,52.52814,13.31714,Private room,35.0,2,3,0.07,1,0,Low price,Short term,Private host
8462,Friedrichshain-Kreuzberg,52.48502,13.3735,Private room,15.0,2,2,0.05,1,0,Low price,Short term,Private host
8463,Neukölln,52.47318,13.45058,Private room,22.0,5,1,0.02,1,0,Low price,Short term,Private host
8464,Mitte,52.53107,13.40453,Entire home/apt,100.0,90,0,,1,44,Middle price,Short term,Private host
8465,Pankow,52.53835,13.42487,Private room,38.0,4,2,0.04,1,0,Low price,Short term,Private host
8466,Pankow,52.55474,13.40616,Private room,26.0,2,10,0.24,1,0,Low price,Short term,Private host
8467,Friedrichshain-Kreuzberg,52.52966,13.44308,Hotel room,50.0,1,42,1.37,2,306,Low price,Long term,Private host
8468,Friedrichshain-Kreuzberg,52.50732,13.39562,Private room,16.0,1,4,0.09,1,0,Low price,Short term,Private host
8469,Pankow,52.53333,13.42292,Entire home/apt,62.0,10,20,0.54,1,193,Low price,Long term,Private host
8470,Friedrichshain-Kreuzberg,52.50578,13.4685,Entire home/apt,89.0,5,6,0.16,1,0,Middle price,Short term,Private host
8471,Neukölln,52.49026,13.42591,Entire home/apt,95.0,1,25,0.64,1,0,Middle price,Short term,Private host
8472,Pankow,52.54624,13.41601,Private room,49.0,2,19,0.51,1,81,Low price,Short term,Private host
8473,Mitte,52.53384,13.39845,Entire home/apt,79.0,33,12,0.42,6,157,Low price,Middle term,Commercial host
8474,Treptow - Köpenick,52.48468,13.46508,Entire home/apt,90.0,3,21,0.47,1,0,Middle price,Short term,Private host
8475,Mitte,52.52416,13.41821,Entire home/apt,141.0,2,9,0.22,9,143,Middle price,Middle term,Commercial host
8476,Charlottenburg-Wilm.,52.51883,13.31761,Private room,25.0,3,7,0.2,1,0,Low price,Short term,Private host
8477,Neukölln,52.47474,13.4213,Entire home/apt,89.0,2,104,2.28,1,18,Middle price,Short term,Private host
8478,Pankow,52.54594,13.40444,Entire home/apt,59.0,4,132,2.93,6,332,Low price,Long term,Commercial host
8479,Mitte,52.51691,13.41902,Entire home/apt,69.0,3,60,1.34,1,2,Low price,Short term,Private host
8480,Mitte,52.53763,13.3751,Entire home/apt,60.0,3,14,0.31,1,0,Low price,Short term,Private host
8481,Steglitz - Zehlendorf,52.46457,13.31304,Entire home/apt,58.0,10,25,0.65,3,0,Low price,Short term,Commercial host
8482,Charlottenburg-Wilm.,52.52513,13.30029,Private room,25.0,3,92,2.04,1,2,Low price,Short term,Private host
8483,Friedrichshain-Kreuzberg,52.51779,13.46274,Entire home/apt,14.0,7,0,,1,0,Low price,Short term,Private host
8484,Neukölln,52.49168,13.43209,Private room,53.0,2,39,1.03,1,10,Low price,Short term,Private host
8485,Tempelhof - Schöneberg,52.49831,13.35737,Private room,45.0,3,0,,1,0,Low price,Short term,Private host
8486,Neukölln,52.49012,13.43378,Entire home/apt,86.0,3,19,0.69,1,16,Middle price,Short term,Private host
8487,Friedrichshain-Kreuzberg,52.51879,13.43923,Private room,54.0,2,0,,1,0,Low price,Short term,Private host
8488,Friedrichshain-Kreuzberg,52.49458,13.43494,Private room,49.0,5,19,0.42,1,158,Low price,Middle term,Private host
8489,Neukölln,52.46825,13.43674,Private room,35.0,2,15,0.42,3,364,Low price,Long term,Commercial host
8490,Friedrichshain-Kreuzberg,52.49233,13.38207,Private room,50.0,7,9,0.2,2,0,Low price,Short term,Private host
8491,Pankow,52.547,13.40772,Entire home/apt,33.0,5,1,0.02,1,0,Low price,Short term,Private host
8492,Spandau,52.53981,13.27111,Private room,40.0,2,2,0.04,1,0,Low price,Short term,Private host
8493,Friedrichshain-Kreuzberg,52.51437,13.45662,Entire home/apt,100.0,60,18,0.45,1,88,Middle price,Short term,Private host
8494,Neukölln,52.46983,13.42448,Entire home/apt,99.0,25,2,0.05,1,101,Middle price,Middle term,Private host
8495,Treptow - Köpenick,52.41696,13.57875,Entire home/apt,70.0,1,59,1.31,1,311,Low price,Long term,Private host
8496,Friedrichshain-Kreuzberg,52.49198,13.41402,Private room,38.0,2,5,0.11,1,0,Low price,Short term,Private host
8497,Treptow - Köpenick,52.4354,13.52573,Entire home/apt,80.0,2,8,0.2,1,0,Middle price,Short term,Private host
8498,Steglitz - Zehlendorf,52.42952,13.26411,Entire home/apt,53.0,2,43,0.96,2,0,Low price,Short term,Private host
8499,Mitte,52.51093,13.37362,Private room,180.0,1,0,,1,0,Middle price,Short term,Private host
8500,Lichtenberg,52.51443,13.4785,Private room,38.0,4,53,1.18,1,40,Low price,Short term,Private host
8501,Friedrichshain-Kreuzberg,52.52578,13.45078,Entire home/apt,80.0,4,2,0.12,1,0,Middle price,Short term,Private host
8502,Mitte,52.53773,13.39305,Entire home/apt,35.0,3,1,0.02,1,0,Low price,Short term,Private host
8503,Pankow,52.53332,13.42025,Private room,34.0,2,50,1.11,1,0,Low price,Short term,Private host
8504,Pankow,52.53744,13.42393,Private room,30.0,3,1,0.02,1,0,Low price,Short term,Private host
8505,Friedrichshain-Kreuzberg,52.51314,13.45426,Private room,28.0,3,4,0.13,2,0,Low price,Short term,Private host
8506,Mitte,52.52961,13.40346,Private room,65.0,2,13,0.39,1,0,Low price,Short term,Private host
8507,Neukölln,52.48516,13.43386,Private room,40.0,28,18,0.46,1,48,Low price,Short term,Private host
8508,Friedrichshain-Kreuzberg,52.51634,13.44022,Entire home/apt,45.0,7,3,0.07,1,0,Low price,Short term,Private host
8509,Pankow,52.53775,13.429,Private room,45.0,1,8,0.18,1,89,Low price,Short term,Private host
8510,Friedrichshain-Kreuzberg,52.51881,13.46097,Private room,50.0,2,50,1.11,1,0,Low price,Short term,Private host
8511,Pankow,52.55167,13.41475,Entire home/apt,110.0,3,145,3.32,3,200,Middle price,Long term,Commercial host
8512,Friedrichshain-Kreuzberg,52.49848,13.46366,Entire home/apt,50.0,1,1,0.02,1,0,Low price,Short term,Private host
8513,Friedrichshain-Kreuzberg,52.49957,13.46091,Private room,10.0,4,1,0.02,1,0,Low price,Short term,Private host
8514,Friedrichshain-Kreuzberg,52.51093,13.46396,Entire home/apt,146.0,1,5,0.22,1,0,Middle price,Short term,Private host
8515,Lichtenberg,52.50345,13.503,Entire home/apt,120.0,5,2,0.05,1,0,Middle price,Short term,Private host
8516,Mitte,52.53936,13.40466,Entire home/apt,60.0,30,22,0.56,5,0,Low price,Short term,Commercial host
8517,Neukölln,52.48227,13.42426,Private room,13.0,1,2,0.04,1,0,Low price,Short term,Private host
8518,Friedrichshain-Kreuzberg,52.52548,13.45251,Private room,45.0,2,12,0.27,1,0,Low price,Short term,Private host
8519,Neukölln,52.48162,13.43908,Entire home/apt,80.0,3,12,0.27,1,0,Middle price,Short term,Private host
8520,Neukölln,52.47919,13.43352,Entire home/apt,40.0,180,0,,1,90,Low price,Short term,Private host
8521,Friedrichshain-Kreuzberg,52.51995,13.4439,Entire home/apt,150.0,5,0,,1,0,Middle price,Short term,Private host
8522,Pankow,52.54741,13.42678,Entire home/apt,75.0,1,5,0.12,1,0,Low price,Short term,Private host
8523,Neukölln,52.45185,13.43801,Private room,30.0,2,2,0.04,1,0,Low price,Short term,Private host
8524,Spandau,52.53507,13.18456,Entire home/apt,41.0,30,7,1.0,18,347,Low price,Long term,Commercial host
8525,Neukölln,52.48616,13.43011,Private room,60.0,5,6,0.14,1,21,Low price,Short term,Private host
8526,Pankow,52.54391,13.4247,Entire home/apt,45.0,2,18,0.44,1,0,Low price,Short term,Private host
8527,Treptow - Köpenick,52.44289,13.57758,Entire home/apt,39.0,2,0,,1,0,Low price,Short term,Private host
8528,Treptow - Köpenick,52.4432,13.7059,Entire home/apt,125.0,1,8,0.21,1,305,Middle price,Long term,Private host
8529,Mitte,52.52553,13.32742,Entire home/apt,35.0,90,7,0.17,1,0,Low price,Short term,Private host
8530,Neukölln,52.47042,13.43024,Entire home/apt,30.0,9,5,0.11,1,0,Low price,Short term,Private host
8531,Mitte,52.56103,13.38711,Private room,28.0,4,0,,1,0,Low price,Short term,Private host
8532,Friedrichshain-Kreuzberg,52.49043,13.42311,Private room,40.0,2,3,0.1,1,0,Low price,Short term,Private host
8533,Mitte,52.55308,13.34495,Private room,35.0,2,12,0.37,2,0,Low price,Short term,Private host
8534,Charlottenburg-Wilm.,52.50598,13.30309,Private room,35.0,1,4,0.19,3,0,Low price,Short term,Commercial host
8535,Friedrichshain-Kreuzberg,52.49056,13.4213,Private room,25.0,2,154,4.18,1,8,Low price,Short term,Private host
8536,Neukölln,52.47009,13.44514,Private room,35.0,4,4,0.09,1,0,Low price,Short term,Private host
8537,Mitte,52.53455,13.34964,Entire home/apt,28.0,1,1,0.02,1,0,Low price,Short term,Private host
8538,Steglitz - Zehlendorf,52.42952,13.26411,Entire home/apt,72.0,2,39,0.89,2,2,Low price,Short term,Private host
8539,Friedrichshain-Kreuzberg,52.48931,13.3756,Entire home/apt,75.0,4,35,0.79,1,2,Low price,Short term,Private host
8540,Charlottenburg-Wilm.,52.511,13.28853,Entire home/apt,249.0,1,130,3.09,13,249,Middle price,Long term,Commercial host
8541,Charlottenburg-Wilm.,52.511,13.28853,Entire home/apt,86.0,1,78,1.81,13,294,Middle price,Long term,Commercial host
8542,Charlottenburg-Wilm.,52.50148,13.30005,Entire home/apt,167.0,1,94,2.18,13,128,Middle price,Middle term,Commercial host
8543,Lichtenberg,52.50522,13.47645,Entire home/apt,80.0,4,1,0.02,1,0,Middle price,Short term,Private host
8544,Friedrichshain-Kreuzberg,52.49649,13.42829,Entire home/apt,35.0,93,2,0.07,7,263,Low price,Long term,Commercial host
8545,Neukölln,52.48421,13.43862,Entire home/apt,85.0,5,0,,1,0,Middle price,Short term,Private host
8546,Mitte,52.52605,13.40265,Entire home/apt,79.0,5,10,0.36,1,0,Low price,Short term,Private host
8547,Neukölln,52.49436,13.42232,Private room,31.0,2,1,0.02,1,0,Low price,Short term,Private host
8548,Friedrichshain-Kreuzberg,52.51255,13.47017,Entire home/apt,90.0,3,96,2.27,12,342,Middle price,Long term,Commercial host
8549,Lichtenberg,52.49763,13.52401,Private room,18.0,5,1,0.02,1,0,Low price,Short term,Private host
8550,Mitte,52.52819,13.33974,Private room,20.0,4,1,0.02,2,0,Low price,Short term,Private host
8551,Mitte,52.54962,13.37164,Private room,35.0,4,11,0.26,1,0,Low price,Short term,Private host
8552,Mitte,52.52229,13.34316,Entire home/apt,79.0,3,98,2.45,1,206,Low price,Long term,Private host
8553,Pankow,52.55325,13.45979,Private room,19.0,1,67,1.53,1,317,Low price,Long term,Private host
8554,Tempelhof - Schöneberg,52.47928,13.35972,Private room,40.0,2,0,,1,0,Low price,Short term,Private host
