,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
82,Mitte,52.52959,13.39763,Private room,42.0,1,1,0.02,1,0,Low price,Short term,Private host
83,Mitte,52.51107,13.41645,Entire home/apt,103.0,90,31,0.28,4,0,Middle price,Short term,Commercial host
84,Mitte,52.51112,13.41596,Entire home/apt,78.0,60,56,0.6,4,315,Low price,Long term,Commercial host
85,Mitte,52.51101,13.41584,Entire home/apt,103.0,60,41,0.36,4,365,Middle price,Long term,Commercial host
86,Mitte,52.50898,13.41535,Entire home/apt,78.0,60,81,0.72,4,0,Low price,Short term,Commercial host
87,Tempelhof - Schöneberg,52.49037,13.34143,Entire home/apt,39.0,180,8,0.09,1,271,Low price,Long term,Private host
88,Friedrichshain-Kreuzberg,52.50254,13.39134,Entire home/apt,215.0,3,53,0.81,3,290,Middle price,Long term,Commercial host
89,Friedrichshain-Kreuzberg,52.50254,13.39134,Entire home/apt,213.0,3,31,0.27,3,322,Middle price,Long term,Commercial host
90,Reinickendorf,52.57217,13.35152,Private room,21.0,1,11,0.2,1,0,Low price,Short term,Private host
91,Steglitz - Zehlendorf,52.46339,13.31003,Private room,50.0,2,4,0.04,1,360,Low price,Long term,Private host
92,Friedrichshain-Kreuzberg,52.49283,13.43872,Entire home/apt,70.0,3,1,0.01,1,0,Low price,Short term,Private host
93,Charlottenburg-Wilm.,52.48083,13.32688,Entire home/apt,59.0,2,64,0.73,1,215,Low price,Long term,Private host
94,Neukölln,52.48743,13.42896,Entire home/apt,76.0,2,71,0.65,1,284,Low price,Long term,Private host
95,Pankow,52.57051,13.39872,Entire home/apt,170.0,2,140,1.31,1,262,Middle price,Long term,Private host
96,Charlottenburg-Wilm.,52.499,13.30171,Entire home/apt,43.0,45,25,0.31,1,68,Low price,Short term,Private host
97,Mitte,52.55475,13.34024,Entire home/apt,25.0,45,2,0.02,1,224,Low price,Long term,Private host
98,Friedrichshain-Kreuzberg,52.48596,13.39258,Entire home/apt,55.0,4,63,2.82,1,25,Low price,Short term,Private host
99,Charlottenburg-Wilm.,52.50001,13.30349,Entire home/apt,82.0,2,450,3.92,1,312,Middle price,Long term,Private host
100,Neukölln,52.48378,13.43379,Private room,29.0,7,16,0.14,1,204,Low price,Long term,Private host
101,Steglitz - Zehlendorf,52.4343,13.23037,Entire home/apt,90.0,90,15,0.2,4,363,Middle price,Long term,Commercial host
102,Tempelhof - Schöneberg,52.49281,13.34951,Entire home/apt,33.0,62,55,0.55,1,103,Low price,Middle term,Private host
103,Pankow,52.53243,13.41645,Entire home/apt,45.0,28,14,0.16,1,0,Low price,Short term,Private host
104,Pankow,52.53822,13.45771,Entire home/apt,105.0,3,88,0.78,2,280,Middle price,Long term,Private host
105,Mitte,52.53008,13.39961,Entire home/apt,80.0,4,79,0.91,1,0,Middle price,Short term,Private host
106,Neukölln,52.43973,13.46044,Entire home/apt,52.0,2,26,0.76,2,234,Low price,Long term,Private host
107,Mitte,52.51398,13.40711,Private room,55.0,1,40,0.48,1,0,Low price,Short term,Private host
108,Pankow,52.57243,13.42076,Entire home/apt,48.0,183,30,0.41,2,0,Low price,Short term,Private host
109,Friedrichshain-Kreuzberg,52.49188,13.42081,Private room,46.0,2,506,4.19,1,69,Low price,Short term,Private host
110,Pankow,52.55527,13.42104,Entire home/apt,75.0,3,0,,1,0,Low price,Short term,Private host
111,Charlottenburg-Wilm.,52.49787,13.29706,Entire home/apt,88.0,6,3,0.05,2,365,Middle price,Long term,Private host
112,Lichtenberg,52.4766,13.50838,Entire home/apt,65.0,3,47,0.52,4,315,Low price,Long term,Commercial host
113,Friedrichshain-Kreuzberg,52.52023,13.44703,Entire home/apt,80.0,3,186,1.91,1,281,Middle price,Long term,Private host
114,Mitte,52.50645,13.41705,Entire home/apt,52.0,4,130,1.2,2,61,Low price,Short term,Private host
115,Steglitz - Zehlendorf,52.43399,13.23025,Entire home/apt,230.0,183,9,0.1,4,363,Middle price,Long term,Commercial host
116,Pankow,52.58042,13.44493,Entire home/apt,119.0,7,55,0.65,1,336,Middle price,Long term,Private host
117,Friedrichshain-Kreuzberg,52.50301,13.41506,Entire home/apt,76.0,3,106,1.42,1,0,Low price,Short term,Private host
118,Charlottenburg-Wilm.,52.49713,13.32525,Private room,42.0,7,13,0.17,2,315,Low price,Long term,Private host
119,Steglitz - Zehlendorf,52.43704,13.22343,Entire home/apt,89.0,60,0,,1,365,Middle price,Long term,Private host
120,Neukölln,52.41363,13.50172,Entire home/apt,100.0,5,1,0.04,1,358,Middle price,Long term,Private host
121,Charlottenburg-Wilm.,52.52349,13.2979,Private room,35.0,28,8,0.23,1,346,Low price,Long term,Private host
122,Mitte,52.53219,13.4028,Entire home/apt,120.0,3,36,0.47,1,40,Middle price,Short term,Private host
123,Friedrichshain-Kreuzberg,52.50035,13.43736,Entire home/apt,195.0,7,12,0.34,1,0,Middle price,Short term,Private host
124,Friedrichshain-Kreuzberg,52.51399,13.46324,Entire home/apt,150.0,2,0,,1,0,Middle price,Short term,Private host
125,Charlottenburg-Wilm.,52.50936,13.3023,Private room,38.0,7,47,0.39,1,205,Low price,Long term,Private host
126,Mitte,52.52183,13.33318,Entire home/apt,175.0,3,314,2.63,1,4,Middle price,Short term,Private host
127,Friedrichshain-Kreuzberg,52.49757,13.38215,Private room,40.0,5,5,0.14,1,0,Low price,Short term,Private host
128,Charlottenburg-Wilm.,52.5189,13.3009,Private room,38.0,1,22,0.64,2,365,Low price,Long term,Private host
129,Friedrichshain-Kreuzberg,52.497,13.44813,Private room,64.0,2,175,1.47,1,67,Low price,Short term,Private host
130,Charlottenburg-Wilm.,52.52545,13.29847,Entire home/apt,46.0,30,26,0.29,1,253,Low price,Long term,Private host
131,Mitte,52.54223,13.35284,Entire home/apt,68.0,4,524,4.4,2,41,Low price,Short term,Private host
132,Mitte,52.52875,13.34062,Entire home/apt,37.0,30,206,1.96,1,294,Low price,Long term,Private host
133,Friedrichshain-Kreuzberg,52.51495,13.44469,Entire home/apt,45.0,2,6,0.06,1,0,Low price,Short term,Private host
134,Mitte,52.52899,13.40253,Entire home/apt,70.0,30,10,1.55,1,217,Low price,Long term,Private host
135,Friedrichshain-Kreuzberg,52.49442,13.43074,Entire home/apt,75.0,60,50,0.42,1,162,Low price,Middle term,Private host
136,Treptow - Köpenick,52.40484,13.53339,Private room,34.0,1,269,2.94,1,336,Low price,Long term,Private host
137,Mitte,52.5197,13.34206,Entire home/apt,79.0,5,91,1.04,2,348,Low price,Long term,Private host
138,Mitte,52.52265,13.3419,Entire home/apt,79.0,5,64,0.61,2,0,Low price,Short term,Private host
139,Mitte,52.52861,13.40527,Private room,41.0,3,170,1.49,1,302,Low price,Long term,Private host
140,Friedrichshain-Kreuzberg,52.49802,13.4409,Private room,42.0,3,4,0.03,1,41,Low price,Short term,Private host
141,Tempelhof - Schöneberg,52.39095,13.39185,Entire home/apt,80.0,60,6,0.07,2,288,Middle price,Long term,Private host
142,Charlottenburg-Wilm.,52.50587,13.29551,Entire home/apt,98.0,10,39,0.4,1,195,Middle price,Long term,Private host
143,Neukölln,52.48342,13.43774,Private room,32.0,2,30,0.26,1,220,Low price,Long term,Private host
144,Marzahn - Hellersdorf,52.47798,13.60628,Entire home/apt,59.0,3,36,0.41,1,324,Low price,Long term,Private host
145,Mitte,52.51551,13.418,Entire home/apt,82.0,90,40,0.34,2,103,Middle price,Middle term,Private host
146,Pankow,52.53687,13.40832,Entire home/apt,84.0,3,178,1.58,1,219,Middle price,Long term,Private host
147,Neukölln,52.44127,13.46116,Entire home/apt,45.0,2,19,0.27,2,268,Low price,Long term,Private host
148,Pankow,52.53218,13.41571,Entire home/apt,30.0,3,489,4.15,2,65,Low price,Short term,Private host
149,Mitte,52.5362,13.39772,Entire home/apt,47.0,91,103,0.92,2,67,Low price,Short term,Private host
150,Neukölln,52.47751,13.43739,Private room,22.0,3,147,2.22,2,0,Low price,Short term,Private host
151,Marzahn - Hellersdorf,52.50015,13.55773,Private room,29.0,5,25,0.34,2,193,Low price,Long term,Private host
152,Friedrichshain-Kreuzberg,52.51367,13.45527,Entire home/apt,100.0,4,69,0.75,1,271,Middle price,Long term,Private host
153,Steglitz - Zehlendorf,52.41643,13.16445,Entire home/apt,95.0,5,0,,3,267,Middle price,Long term,Commercial host
154,Steglitz - Zehlendorf,52.41618,13.16461,Entire home/apt,95.0,5,1,0.03,3,272,Middle price,Long term,Commercial host
155,Mitte,52.52826,13.33044,Entire home/apt,62.0,2,123,1.21,6,294,Low price,Long term,Commercial host
156,Mitte,52.53094,13.33453,Entire home/apt,190.0,2,35,0.54,1,340,Middle price,Long term,Private host
157,Mitte,52.52779,13.39108,Entire home/apt,101.0,1,277,2.52,2,188,Middle price,Long term,Private host
158,Mitte,52.52983,13.39275,Entire home/apt,100.0,1,221,2.02,2,190,Middle price,Long term,Private host
159,Treptow - Köpenick,52.44612,13.49829,Entire home/apt,68.0,2,115,1.5,1,340,Low price,Long term,Private host
160,Mitte,52.52024,13.3907,Entire home/apt,150.0,4,126,1.27,1,99,Middle price,Middle term,Private host
161,Friedrichshain-Kreuzberg,52.52606,13.42294,Entire home/apt,70.0,2,127,1.11,3,103,Low price,Middle term,Commercial host
162,Pankow,52.54361,13.44016,Entire home/apt,90.0,4,52,0.65,3,162,Middle price,Middle term,Commercial host
163,Mitte,52.50974,13.39971,Entire home/apt,93.0,30,123,1.16,3,362,Middle price,Long term,Commercial host
164,Reinickendorf,52.58384,13.23087,Entire home/apt,25.0,30,9,0.1,2,12,Low price,Short term,Private host
165,Reinickendorf,52.58383,13.22954,Entire home/apt,21.0,30,6,0.06,2,0,Low price,Short term,Private host
166,Tempelhof - Schöneberg,52.49512,13.35251,Entire home/apt,59.0,2,178,1.63,1,225,Low price,Long term,Private host
167,Charlottenburg-Wilm.,52.49735,13.33384,Entire home/apt,70.0,63,8,0.11,3,103,Low price,Middle term,Commercial host
168,Charlottenburg-Wilm.,52.49774,13.33644,Entire home/apt,50.0,22,48,0.5,3,88,Low price,Short term,Commercial host
169,Charlottenburg-Wilm.,52.49806,13.33387,Entire home/apt,45.0,90,7,0.1,3,276,Low price,Long term,Commercial host
170,Pankow,52.52978,13.40657,Private room,54.0,3,7,0.06,4,365,Low price,Long term,Commercial host
171,Pankow,52.53144,13.40629,Private room,63.0,3,9,0.37,4,365,Low price,Long term,Commercial host
172,Pankow,52.52949,13.4067,Private room,60.0,3,10,0.14,4,365,Low price,Long term,Commercial host
173,Charlottenburg-Wilm.,52.51792,13.30729,Entire home/apt,99.0,3,34,0.49,4,278,Middle price,Long term,Commercial host
174,Friedrichshain-Kreuzberg,52.51247,13.45385,Private room,200.0,1,102,0.95,2,162,Middle price,Middle term,Private host
175,Pankow,52.52984,13.40623,Private room,94.0,3,28,0.26,4,365,Middle price,Long term,Commercial host
